date,symbol,close
2017-01-03,AVTX,30.0
2017-01-04,AVTX,30.2398
2017-01-05,AVTX,30.9427
2017-01-06,AVTX,30.2566
2017-01-09,AVTX,29.7735
2017-01-10,AVTX,30.2275
2017-01-11,AVTX,29.6157
2017-01-12,AVTX,29.235
2017-01-13,AVTX,29.7633
2017-01-16,AVTX,30.8004
2017-01-17,AVTX,29.7649
2017-01-18,AVTX,29.5227
2017-01-19,AVTX,30.4621
2017-01-20,AVTX,29.7151
2017-01-23,AVTX,27.85
2017-01-24,AVTX,28.9035
2017-01-25,AVTX,28.3838
2017-01-26,AVTX,27.8128
2017-01-27,AVTX,28.0696
2017-01-30,AVTX,27.3822
2017-01-31,AVTX,26.8155
2017-02-01,AVTX,26.6128
2017-02-02,AVTX,26.3062
2017-02-03,AVTX,27.3361
2017-02-06,AVTX,28.4657
2017-02-07,AVTX,27.6363
2017-02-08,AVTX,28.105
2017-02-09,AVTX,27.753
2017-02-10,AVTX,28.0672
2017-02-13,AVTX,28.2075
2017-02-14,AVTX,27.4227
2017-02-15,AVTX,27.8802
2017-02-16,AVTX,29.1215
2017-02-17,AVTX,29.5828
2017-02-20,AVTX,30.0582
2017-02-21,AVTX,29.3282
2017-02-22,AVTX,29.2746
2017-02-23,AVTX,30.0224
2017-02-24,AVTX,30.9094
2017-02-27,AVTX,29.7751
2017-02-28,AVTX,29.8539
2017-03-01,AVTX,30.6215
2017-03-02,AVTX,28.9175
2017-03-03,AVTX,28.6316
2017-03-06,AVTX,28.7179
2017-03-07,AVTX,27.9503
2017-03-08,AVTX,27.9903
2017-03-09,AVTX,27.534
2017-03-10,AVTX,29.2372
2017-03-13,AVTX,29.3366
2017-03-14,AVTX,28.949
2017-03-15,AVTX,28.8269
2017-03-16,AVTX,28.7363
2017-03-17,AVTX,27.4518
2017-03-20,AVTX,26.2287
2017-03-21,AVTX,26.5926
2017-03-22,AVTX,27.3558
2017-03-23,AVTX,26.6629
2017-03-24,AVTX,26.1923
2017-03-27,AVTX,26.0546
2017-03-28,AVTX,26.2213
2017-03-29,AVTX,26.9072
2017-03-30,AVTX,26.7466
2017-03-31,AVTX,27.0002
2017-04-03,AVTX,27.1777
2017-04-04,AVTX,27.0554
2017-04-05,AVTX,28.1345
2017-04-06,AVTX,28.1766
2017-04-07,AVTX,27.8259
2017-04-10,AVTX,27.6314
2017-04-11,AVTX,28.3621
2017-04-12,AVTX,28.2662
2017-04-13,AVTX,26.5337
2017-04-14,AVTX,26.1236
2017-04-17,AVTX,26.1415
2017-04-18,AVTX,26.0933
2017-04-19,AVTX,25.7039
2017-04-20,AVTX,24.8546
2017-04-21,AVTX,24.277
2017-04-24,AVTX,24.1108
2017-04-25,AVTX,23.1602
2017-04-26,AVTX,24.3135
2017-04-27,AVTX,23.7173
2017-04-28,AVTX,24.1828
2017-05-01,AVTX,23.5375
2017-05-02,AVTX,22.7443
2017-05-03,AVTX,23.2462
2017-05-04,AVTX,24.0971
2017-05-05,AVTX,24.6136
2017-05-08,AVTX,23.724
2017-05-09,AVTX,24.4863
2017-05-10,AVTX,24.8203
2017-05-11,AVTX,24.8219
2017-05-12,AVTX,25.8132
2017-05-15,AVTX,26.5171
2017-05-16,AVTX,25.6251
2017-05-17,AVTX,24.1859
2017-05-18,AVTX,25.5222
2017-05-19,AVTX,25.619
2017-05-22,AVTX,25.0718
2017-05-23,AVTX,25.0378
2017-05-24,AVTX,24.8114
2017-05-25,AVTX,24.3475
2017-05-26,AVTX,24.0845
2017-05-29,AVTX,23.4697
2017-05-30,AVTX,22.9238
2017-05-31,AVTX,22.515
2017-06-01,AVTX,22.2544
2017-06-02,AVTX,22.5617
2017-06-05,AVTX,22.3226
2017-06-06,AVTX,21.7901
2017-06-07,AVTX,21.6591
2017-06-08,AVTX,21.4464
2017-06-09,AVTX,20.4764
2017-06-12,AVTX,20.6351
2017-06-13,AVTX,20.9667
2017-06-14,AVTX,22.3346
2017-06-15,AVTX,21.8284
2017-06-16,AVTX,21.8426
2017-06-19,AVTX,22.086
2017-06-20,AVTX,22.6777
2017-06-21,AVTX,22.7568
2017-06-22,AVTX,22.6742
2017-06-23,AVTX,23.1613
2017-06-26,AVTX,22.8251
2017-06-27,AVTX,22.6693
2017-06-28,AVTX,22.1455
2017-06-29,AVTX,23.044
2017-06-30,AVTX,23.7393
2017-07-03,AVTX,23.0295
2017-07-04,AVTX,23.8759
2017-07-05,AVTX,24.3946
2017-07-06,AVTX,23.2095
2017-07-07,AVTX,22.8249
2017-07-10,AVTX,23.8602
2017-07-11,AVTX,24.0939
2017-07-12,AVTX,23.5476
2017-07-13,AVTX,23.8396
2017-07-14,AVTX,23.9541
2017-07-17,AVTX,23.2882
2017-07-18,AVTX,23.0427
2017-07-19,AVTX,23.7509
2017-07-20,AVTX,22.4753
2017-07-21,AVTX,22.5113
2017-07-24,AVTX,22.9026
2017-07-25,AVTX,22.6787
2017-07-26,AVTX,23.2275
2017-07-27,AVTX,23.6909
2017-07-28,AVTX,23.7301
2017-07-31,AVTX,23.5884
2017-08-01,AVTX,23.2033
2017-08-02,AVTX,22.7395
2017-08-03,AVTX,23.4425
2017-08-04,AVTX,22.9275
2017-08-07,AVTX,23.1106
2017-08-08,AVTX,23.0672
2017-08-09,AVTX,23.4638
2017-08-10,AVTX,22.8402
2017-08-11,AVTX,23.1986
2017-08-14,AVTX,23.2229
2017-08-15,AVTX,23.6543
2017-08-16,AVTX,23.1392
2017-08-17,AVTX,24.7711
2017-08-18,AVTX,24.3412
2017-08-21,AVTX,26.0592
2017-08-22,AVTX,25.9741
2017-08-23,AVTX,26.0541
2017-08-24,AVTX,24.8008
2017-08-25,AVTX,24.6599
2017-08-28,AVTX,25.7698
2017-08-29,AVTX,25.947
2017-08-30,AVTX,26.1742
2017-08-31,AVTX,26.0185
2017-09-01,AVTX,26.7964
2017-09-04,AVTX,26.6347
2017-09-05,AVTX,26.6462
2017-09-06,AVTX,26.3725
2017-09-07,AVTX,24.6133
2017-09-08,AVTX,24.8396
2017-09-11,AVTX,24.8075
2017-09-12,AVTX,25.0215
2017-09-13,AVTX,25.1163
2017-09-14,AVTX,25.7507
2017-09-15,AVTX,27.9175
2017-09-18,AVTX,27.4539
2017-09-19,AVTX,27.4471
2017-09-20,AVTX,26.407
